Customer #	Interarrival Time (min)	Service Time (min)
124	3.42	2.71
125	3.33	3.09
126	4.83	3.11
127	2.48	4.09
128	5.49	2.87
129	4.09	1.50
130	5.24	2.30
131	5.64	1.73
132	4.84	2.55
133	3.50	3.23
134	3.25	5.04
135	3.97	0.53
136	5.06	3.33
137	5.01	3.19
138	3.20	3.43
139	3.92	3.39
140	3.01	3.04
141	4.65	1.68
142	3.09	4.73
143	1.73	1.68
144	3.91	1.96
145	3.40	3.36
146	4.02	2.52
147	5.02	5.10
148	4.64	2.40
149	4.35	3.66
150	3.35	4.04
151	4.13	3.92
152	2.61	3.42
153	4.82	1.52
154	3.81	5.25
155	5.76	3.87
156	2.06	2.47
157	3.83	3.09
158	3.08	2.35
159	3.99	2.86
160	4.23	2.91
161	3.19	1.61
162	3.09	2.52
163	2.76	2.61
164	4.35	3.79
165	4.28	2.68
166	3.82	2.19
167	4.64	2.41
168	3.78	1.95
169	3.30	3.73
170	3.83	3.27
171	3.66	1.94
172	4.91	3.43
173	3.22	4.28
174	4.76	3.18
175	4.41	3.15
176	4.10	3.87
177	4.80	3.68
178	4.28	2.73
179	2.06	2.96
180	3.16	4.82
181	5.14	3.08
182	3.56	3.79
183	4.43	1.50
184	2.05	2.62
185	2.44	2.98
186	4.52	4.74
187	3.42	2.32
188	5.09	2.53
189	3.35	1.12
190	4.63	3.17
191	3.11	4.53
192	4.06	2.46
193	3.46	3.14
194	2.56	2.72
195	2.90	3.40
196	5.60	2.29
197	3.74	3.14
198	3.83	3.23
199	4.80	2.38
200	5.16	1.02
201	3.10	2.35
202	3.86	3.36
203	6.64	2.22
204	3.67	3.61
205	3.41	3.84
206	3.92	2.52
207	3.45	3.71
208	3.02	2.97
209	3.68	2.70
210	3.95	1.33
211	5.46	2.48
212	4.03	1.96
213	2.94	3.15
214	3.69	3.53
215	2.42	5.44
216	3.72	2.54
217	4.33	2.92
218	4.43	3.98
219	4.14	4.73
220	5.91	2.27
221	4.37	3.80
222	5.62	4.24
223	3.72	3.26
224	3.12	2.45
225	4.27	1.92
226	4.46	3.15
227	3.87	3.80
228	4.36	3.11
229	4.08	2.53
230	3.40	3.22
231	1.73	2.60
232	4.25	2.97
233	4.13	2.32
234	5.13	3.93
235	5.09	3.69
236	3.16	2.96
237	4.67	1.68
238	2.78	2.71
239	4.10	2.17
240	6.17	3.09
241	5.05	4.89
242	3.73	1.65
243	4.59	3.46
244	3.42	2.84
245	4.79	3.76
246	5.09	2.66
247	4.48	1.73
248	4.93	4.09
249	2.91	2.85
250	1.46	2.94
251	5.24	3.54
252	4.60	3.12
253	3.00	4.74
254	4.00	3.03
255	2.24	3.49
256	4.24	2.96
257	3.47	3.23
258	3.64	2.64
259	3.16	4.54
260	4.21	2.37
261	4.69	3.16
262	5.14	3.52
263	6.32	2.27
264	4.03	2.52
265	2.72	2.28
266	3.37	3.48
267	4.46	2.64
268	3.30	3.65
269	4.38	2.38
270	1.92	3.68
271	6.25	3.93
272	3.06	4.58
273	2.89	2.61
274	4.54	3.54
275	5.08	3.25
276	4.07	2.73
277	2.47	3.02
278	3.28	2.98
279	3.58	2.13
280	5.00	2.98
281	5.87	2.89
282	4.87	1.52
283	3.66	3.89
284	4.37	3.58
285	5.10	3.55
286	4.44	3.54
287	4.38	3.28
288	4.82	3.00
289	4.31	3.76
290	3.91	1.68
291	4.02	2.91
292	3.11	2.75
293	4.11	1.50
294	4.71	2.58
295	4.96	5.04
296	4.17	2.15
297	2.94	1.62
298	5.63	3.32
299	3.12	3.55
300	2.12	2.08
301	3.72	4.20
302	2.56	4.20
303	5.67	2.65
304	3.47	3.70
305	4.87	2.56
306	3.24	3.69
307	4.44	3.57
308	5.48	0.73
309	3.30	1.08
310	3.15	3.02
311	2.78	1.27
312	1.89	3.77
313	4.85	4.50
314	4.21	4.90
315	4.57	3.93
316	3.26	4.15
317	5.69	4.35
318	5.56	4.54
319	4.02	3.09
320	5.13	3.22
321	5.68	2.82
322	5.34	3.73
323	4.35	3.00
324	4.10	3.14
325	3.71	2.66
326	3.28	2.34
327	4.15	2.26
328	3.27	3.02
329	3.70	0.68
330	3.33	3.31
331	4.62	3.01
332	3.75	2.30
333	3.50	4.09
334	4.42	2.49
335	3.49	3.13
336	5.75	2.51
337	4.89	4.74
338	3.00	1.01
339	6.31	2.22
340	1.27	2.12
341	4.71	3.15
342	5.17	4.19
343	3.31	4.28
344	3.60	2.67
345	5.37	2.26
346	2.82	2.91
347	5.14	3.55
348	4.85	3.70
349	5.17	4.58
350	3.59	2.32
351	3.06	4.01
352	2.41	3.12
353	2.03	4.07
354	4.42	3.63
355	3.59	5.91
356	2.59	3.59
357	3.61	3.76
358	4.10	4.63
359	2.45	3.54
360	3.10	1.60
361	3.67	3.27
362	4.24	2.32
363	4.92	2.85
364	3.55	3.92
365	3.67	3.43
366	2.49	4.06
367	6.03	4.46
368	3.72	5.19
369	2.77	3.85
370	4.88	1.28
371	3.13	2.40
372	2.60	2.43
373	4.39	2.13
374	3.72	4.36
375	3.66	2.24
376	2.98	1.92
377	2.99	3.12
378	3.61	3.71
379	4.67	3.94
380	4.23	2.98
381	3.29	2.18
382	3.73	3.95
383	4.05	2.93
384	3.92	3.84
385	3.44	2.11
386	4.20	1.59
387	2.38	2.04
388	3.31	2.94
389	4.70	1.76
390	2.30	3.60
391	4.20	3.11
392	3.21	2.84
393	3.54	2.84
394	4.56	4.32
395	2.74	4.14
396	4.09	3.71
397	6.50	2.10
398	5.49	3.53
399	2.66	3.10
400	5.59	3.38
401	4.19	1.56
402	4.74	3.37
403	4.20	2.03
404	6.66	2.38
405	3.49	3.54
406	3.44	4.19
407	3.87	1.69
408	3.35	3.10
409	3.00	2.61
410	5.04	5.16
411	3.12	5.02
412	2.93	3.60
413	2.83	2.11
414	2.45	3.92
415	4.36	2.66
416	3.40	2.20
417	4.49	0.96
418	4.39	2.81
419	4.35	4.05
420	4.35	3.35
421	3.62	3.66
422	5.13	3.54
423	4.79	2.58
424	2.72	1.82
425	1.08	2.21
426	4.11	0.88
427	3.97	3.94
428	5.96	3.06
429	3.39	3.84
430	2.33	3.55
431	5.99	2.15
432	5.01	2.09
433	3.42	2.22
434	3.85	2.31
435	4.08	3.13
436	4.44	0.67
437	4.39	2.31
438	5.33	3.73
439	3.37	3.10
440	3.95	1.01
441	3.25	2.55
442	3.00	3.36
443	2.45	1.97
444	3.29	4.47
445	3.42	1.70
446	5.54	3.52
447	3.53	4.52
448	3.76	2.02
449	5.53	2.22
450	4.95	3.53
451	4.32	4.02
452	2.78	2.21
453	3.23	2.54
454	3.33	3.21
455	4.57	4.40
456	4.94	4.36
457	3.66	1.40
458	3.96	3.54
459	4.60	1.47
460	4.66	3.84
461	3.69	1.90
462	4.51	2.70
463	4.40	1.63
464	3.47	5.01
465	3.91	3.29
466	5.99	3.07
467	3.64	2.33
468	5.32	2.92
469	4.89	3.05
470	3.90	2.90
471	3.93	1.82
472	5.12	1.39
473	5.12	3.29
474	4.87	2.26
475	3.78	2.94
476	4.77	2.92
477	4.57	4.22
478	3.92	4.05
479	4.73	2.45
480	5.20	2.34
481	2.83	3.92
482	4.98	3.73
483	5.32	2.68
484	5.26	4.13
485	5.59	2.69
486	4.29	1.27
487	3.02	2.88
488	5.12	3.28
489	5.00	2.65
490	5.17	3.18
491	3.52	3.49
492	4.01	4.03
493	1.71	3.36
494	4.09	3.39
495	5.78	2.94
496	4.57	3.27
497	4.59	3.31
498	4.59	3.34
499	2.66	1.76
500	4.19	2.75
